"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
783,07010406403 SHAKUR PUR E-BLOCK,064-SHAKAR PUR Primary,,Local body,,Urban Co-Educational,389,402,791,4,,14 18,18
784,07010406402 SHAKUR PUR F (TAMIL),064-SHAKAR PUR Primary,,Local body,,Urban Co-Educational,63,41,104,0,,4 4,5
785,07010406405 SHAKUR PUR G-I,064-SHAKAR PUR Primary,,Local body,,Urban Girls only,0,615,615,0,,19 19,15
786,07010406404 SHAKUR PUR G-II,064-SHAKAR PUR Primary,,Local body,,Urban Boys only,145,0,145,4,,3 7,10
787,07010406401 SHAKUR PUR H-I,064-SHAKAR PUR Primary,,Local body,,Urban Girls only,0,911,911,0,,21 21,30
788,07010406406 SHAKUR PUR H-II,064-SHAKAR PUR Primary,,Local body,,Urban Co-Educational,583,374,957,6,,10 16,18
789,07010406408 SHAKUR PUR I BLK-I,064-SHAKAR PUR Primary,,Local body,,Urban Boys only,892,0,892,9,,15 24,21
790,07010406407 SHAKUR PUR I BLK-II,064-SHAKAR PUR Primary,,Local body,,Urban Co-Educational,202,208,410,7,,4 11,10
791,07010406504 JJ WAZIRPUR NEW-I,065-NEEMRI COLONYPrimary,,Local body,,Urban Girls only,0,943,943,0,,22 22,18
792,07010406503 JJ WAZIRPUR NEW-II,065-NEEMRI COLONYPrimary,,Local body,,Urban Boys only,934,0,934,13,,5 18,18
"",School,School,,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,Total Schools in this block :,443,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
793,07010406506 JJ WAZIRPUR OLD-I,065-NEEMRI COLONYPrimary,,Local body,,Urban Co-Educational,30,694,724,0,,17 17,12
794,07010406505 JJ WAZIRPUR OLD-II,065-NEEMRI COLONYPrimary,,Local body,,Urban Boys only,546,0,546,6,,4 10,20
795,07010406502 NIMRI COLONY I,065-NEEMRI COLONYPrimary,,Local body,,Urban Girls only,0,519,519,1,,16 17,20
796,07010406501 NIMRI COLONY II,065-NEEMRI COLONYPrimary,,Local body,,Urban Boys only,556,0,556,4,,7 11,13
797,07010406603 A-1 ASHOK VIHAR,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,0,572,572,1,,11 12,15
798,07010406602 A-2 ASHOK VIHAR,066-SAWAN PARK Primary,,Local body,,Urban Boys only,514,0,514,2,,3 5,22
799,07010406604 B-2 ASHOK VIHAR,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,389,352,741,2,,20 22,14
800,07010406609 BHARAT NAGAR,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,105,73,178,0,,6 6,5
801,07010406605 C-2 ASHOK VIHAR,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,349,235,584,0,,14 14,12
802,"07010406601 PHASE-III, ASHOK VIHAR",066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,233,171,404,0,,10 10,10
803,07010406607 SATYAWATI NAGAR,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,152,110,262,0,,7 7,9
804,07010406606 SAWAN PARK,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,105,97,202,0,,6 6,5
805,07010406608 SHAKTI NAGAR EXT.,066-SAWAN PARK Primary,,Local body,,Urban Co-Educational,86,67,153,0,,6 6,7
806,07010406704 A-1 PRATAP KUNJ,067-WAZIRPUR Primary,,Local body,,Urban Co-Educational,119,95,214,3,,3 6,5
807,07010406703 B-2 SUKHDEV KUNJ,067-WAZIRPUR Primary,,Local body,,Urban Co-Educational,199,151,350,0,,11 11,10
808,07010406705 C-7 SURAJ KUNJ,067-WAZIRPUR Primary,,Local body,,Urban Co-Educational,351,284,635,0,,16 16,20
809,07010406706 C-8 NANAK KUNJ,067-WAZIRPUR Primary,,Local body,,Urban Co-Educational,298,241,539,1,,17 18,15
810,07010406702 WAZIRPUR VILL.-I,067-WAZIRPUR Primary,,Local body,,Urban Girls only,0,361,361,0,,11 11,10
811,07010406701 WAZIRPUR VILL.-II,067-WAZIRPUR Primary,,Local body,,Urban Boys only,399,0,399,2,,5 7,14
812,07010406804 C-1 ASHOK VIHAR,068-ASHOK VIHAR Primary,,Local body,,Urban Co-Educational,439,385,824,4,,17 21,5
813,07010406806 E-BLK ASHOK VIHAR,068-ASHOK VIHAR Primary,,Local body,,Urban Co-Educational,289,230,519,2,,7 9,10
814,07010406805 H-BLK ASHOK VIHAR,068-ASHOK VIHAR Primary,,Local body,,Urban Co-Educational,558,332,890,8,,16 24,21
815,07010406803 WAZIRPUR INDUSTRIAL AREA A BLK 068-ASHOK VIHAR,Primary,,Local body,,Urban Co-Educational,215,164,379,0,,9 9,6
816,07010406802 WAZIRPUR INDUSTRIAL AREA C BLK 068-ASHOK VIHAR,Primary,,Local body,,Urban Girls only,0,238,238,0,,4 4,6
817,07010406801 WAZIRPUR INDUSTRIAL AREA C BLK 068-ASHOK VIHAR,Primary,,Local body,,Urban Boys only,276,0,276,4,,0 4,5
"",Cluster Code & Name:,0701040001 DEFAULT,,,,,,,,,,,
818,07010400510 AZAD PUR VILLAGE-I,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Girls only,0,1032,1032,0,,28 28,23
819,07010400504 JAHANGIR PURI D-I,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Girls only,0,803,803,0,,22 22,19
820,07010400505 JAHANGIR PURI D-II,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Boys only,866,0,866,13,,6 19,22
821,07010400508 JAHANGIR PURI EE-I,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Girls only,0,238,238,1,,7 8,5
822,07010400509 JAHANGIR PURI EE-II,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Boys only,364,0,364,5,,2 7,7
823,07010400506 JAHANGIR PURI E-I,005-BHALASWA JAHAPNrGimIRarPyURI,,Local body,,Urban Girls only,0,625,625,0,,16 16,14
"",School,,School,,School,,Location &,,Enrolment,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,,Type of School,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,Female Total,
"",Block Code & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,
"",Cluster Code  & Name:,0701040001 DEFAULT,,,,,,,,,,,
824,07010400507 JAHANGIR PURI E-II,005-BHALASWA JAHAPNrGimIRarPyURI,,,Local body,,Urban Boys only,533,0,533,12,0 12,12
825,07010400503 KADI PUR I,005-BHALASWA JAHAPNrGimIRarPyURI,,,Local body,,Rural Co-Educational,224,203,427,8,4 12,11
826,07010400502 KADI PUR II,005-BHALASWA JAHAPNrGimIRarPyURI,,,Local body,,Rural Co-Educational,192,203,395,5,2 7,12
827,07010400501 NANGLI PUNA,005-BHALASWA JAHAPNrGimIRarPyURI,,,Local body,,Rural Co-Educational,256,229,485,3,9 12,11
828,07010400701 MUKHMAIL PUR BOYS,007-BURARI Primary,,,Local body,,Rural Boys only,165,0,165,4,1 5,5
829,07010400702 MUKHMAIL PUR GIRLS,007-BURARI Primary,,,Local body,,Rural Girls only,0,156,156,3,3 6,5
830,07010401104 INDRA VIHAR,011-MUKHERJI NAGARPrimary,,,Local body,,Urban Co-Educational,89,89,178,0,6 6,5
831,07010401102 MUKHARJI NAGAR NEW,011-MUKHERJI NAGARPrimary,,,Local body,,Urban Co-Educational,187,189,376,0,12 12,10
832,07010401101 MUKHARJI NAGAR OLD,011-MUKHERJI NAGARPrimary,,,Local body,,Urban Co-Educational,398,400,798,1,21 22,18
833,07010401103 PARMANAND COLONY,011-MUKHERJI NAGARPrimary,,,Local body,,Urban Co-Educational,215,185,400,1,14 15,4
834,07010401202 DHAKKA (CO-ED.),012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,102,123,225,1,4 5,5
835,07010401208 G.T.B. NAGAR,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,197,185,382,1,11 12,11
836,07010401201 HAKIKAT NAGAR,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,92,73,165,0,6 6,5
837,07010401204 MALIK PUR-I,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,0,178,178,1,6 7,5
838,07010401205 MALIK PUR-II,012-G.T.B. NAGAR Primary,,,Local body,,Urban Boys only,176,0,176,5,0 5,5
839,07010401203 MUKHARJI PARK,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,121,73,194,1,4 5,5
840,07010401207 VIJAY NAGAR D/S,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,96,61,157,1,2 3,5
841,07010401209 VIJAY NAGAR NEW,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,143,149,292,0,12 12,10
842,07010401206 VIJAY NAGAR S/S,012-G.T.B. NAGAR Primary,,,Local body,,Urban Co-Educational,74,51,125,0,5 5,5
843,07010401302 DHIR PUR-I,013-DHIRPUR Primary,,,Local body,,Urban Girls only,0,310,310,1,7 8,5
844,07010401303 DHIR PUR-II,013-DHIRPUR Primary,,,Local body,,Urban Boys only,285,0,285,6,0 6,16
845,07010401301 GANDHI VIHAR,013-DHIRPUR Primary,,,Local body,,Urban Co-Educational,129,67,196,2,5 7,5
846,07010401306 GOPAL NAGAR,013-DHIRPUR Primary,,,Local body,,Urban Co-Educational,109,88,197,2,3 5,5
847,07010401304 KEWAL PARK,013-DHIRPUR Primary,,,Local body,,Urban Co-Educational,391,304,695,8,13 21,18
848,07010401307 MOHAN PARK,013-DHIRPUR Primary,,,Local body,,Urban Co-Educational,395,301,696,6,15 21,16
849,07010401305 RAMESHWAR NAGAR,013-DHIRPUR Primary,,,Local body,,Urban Co-Educational,337,333,670,2,16 18,15
850,07010401404 ADARSH  NAGAR-I,014-ADARSH NAGAR Primary,,,Local body,,Urban Girls only,0,1375,1375,1,34 35,36
851,07010401405 ADARSH  NAGAR-II,014-ADARSH NAGAR Primary,,,Local body,,Urban Boys only,1023,0,1023,12,11 23,43
852,07010401401 AZAD PUR VILLAGE-II,014-ADARSH NAGAR Primary,,,Local body,,Urban Boys only,1062,0,1062,12,13 25,25
853,07010401406 BHAROLA PANCHWATI,014-ADARSH NAGAR Primary,,,Local body,,Urban Co-Educational,162,54,216,0,5 5,5
854,07010401407 INDRA NAGAR-I,014-ADARSH NAGAR Primary,,,Local body,,Urban Girls only,0,213,213,0,6 6,5
855,07010401408 INDRA NAGAR-II,014-ADARSH NAGAR Primary,,,Local body,,Urban Boys only,360,0,360,6,2 8,12
"",School,,,School,School,,Location &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code  & Name:,0701040001 DEFAULT,,,,,,,,,,,,,
856,07010401402 MAJLIS PARK-I,014-ADARSH NAGAR Primary,,,Local body,,Urban Girls only,0,,358,358,0,,12 12,9
857,07010401403 MAJLIS PARK-II,014-ADARSH NAGAR Primary,,,Local body,,Urban Boys only,302,,0,302,4,,6 10,8
858,07010401501 BHARIOLA VILLAGE,015-SARAI PEPAL THAPLrLimAary,,,Local body,,Urban Co-Educational,335,,287,622,3,,13 16,14
859,07010401504 JAHANGIR PURI- A-PUNJABI,015-SARAI PEPAL THAPLrLimAary,,,Local body,,Urban Co-Educational,68,,60,128,1,,2 3,5
860,07010401502 SARAI PIPAL THALA-I,015-SARAI PEPAL THAPLrLimAary,,,Local body,,Urban Girls only,0,,652,652,0,,16 16,15
861,07010401503 SARAI PIPAL THALA-II,015-SARAI PEPAL THAPLrLimAary,,,Local body,,Rural Boys only,656,,0,656,7,,5 12,15
862,07010401607 JAHANGIR PURI  F-II,016-JAHANGIRPURI - Primary,,,Local body,,Urban Boys only,424,,0,424,5,,2 7,6
863,07010401608 JAHANGIR PURI- A-I,016-JAHANGIRPURI - Primary,,,Local body,,Urban Girls only,0,,543,543,0,,18 18,14
864,07010401601 JAHANGIR PURI- A-II,016-JAHANGIRPURI - Primary,,,Local body,,Urban Boys only,634,,0,634,12,,1 13,14
865,07010401606 JAHANGIR PURI F-I,016-JAHANGIRPURI - Primary,,,Local body,,Urban Girls only,0,,380,380,0,,7 7,11
866,07010401602 JAHANGIR PURI G-I,016-JAHANGIRPURI - Primary,,,Local body,,Urban Girls only,0,,346,346,0,,11 11,9
867,07010401603 JAHANGIR PURI G-II,016-JAHANGIRPURI - Primary,,,Local body,,Urban Boys only,334,,0,334,6,,2 8,9
868,07010401605 JAHANGIR PURI H - II,016-JAHANGIRPURI - Primary,,,Local body,,Urban Boys only,1154,,0,1154,9,,9 18,10
869,07010401604 JAHANGIR PURI H-I,016-JAHANGIRPURI - Primary,,,Local body,,Urban Co-Educational,0,,1248,1248,1,,30 31,10
870,07010401701 BADLI -I,017-SAMAYPUR BADLPI rimary,,,Local body,,Urban Girls only,0,,670,670,0,,19 19,15
871,07010401702 BADLI -II,017-SAMAYPUR BADLPI rimary,,,Local body,,Rural Boys only,579,,0,579,4,,9 13,18
872,07010401705 SAMEY PUR NEW-I,017-SAMAYPUR BADLPI rimary,,,Local body,,Rural Girls only,0,,770,770,0,,16 16,15
873,07010401706 SAMEY PUR NEW-II,017-SAMAYPUR BADLPI rimary,,,Local body,,Urban Boys only,614,,0,614,7,,2 9,15
874,07010401703 SAMEY PUR OLD-I,017-SAMAYPUR BADLPI rimary,,,Local body,,Urban Co-Educational,0,,929,929,3,,20 23,21
875,07010401704 SAMEY PUR OLD-II,017-SAMAYPUR BADLPI rimary,,,Local body,,Rural Boys only,666,,0,666,8,,7 15,16
876,07010401801 LIBAS PUR-I,018-LIBASPUR Primary,,,Local body,,Rural Girls only,0,,1183,1183,3,,28 31,22
877,07010401802 LIBAS PUR-II,018-LIBASPUR Primary,,,Local body,,Rural Boys only,1118,,0,1118,10,,12 22,23
878,07010401804 SIRAS PUR BOYS,018-LIBASPUR Primary,,,Local body,,Rural Boys only,970,,0,970,21,,1 22,16
879,07010401803 SIRAS PUR GIRLS,018-LIBASPUR Primary,,,Local body,,Rural Girls only,0,,768,768,3,,16 19,18
880,07010401805 SWAROOP NAGAR-I,018-LIBASPUR Primary,,,Local body,,Urban Girls only,0,,1620,1620,4,,30 34,19
881,07010401806 SWAROOP NAGAR-II,018-LIBASPUR Primary,,,Local body,,Urban Boys only,1459,,0,1459,20,,4 24,20
882,07010401905 BHALASWA DAIRY-I,019-BHALASWA Primary,,,Local body,,Urban Girls only,0,,1868,1868,8,,31 39,28
883,07010401906 BHALASWA DAIRY-II,019-BHALASWA Primary,,,Local body,,Urban Boys only,1622,,0,1622,23,,4 27,33
884,07010401908 BHALASWA J.J. NO-1,019-BHALASWA Primary,,,Local body,,Rural Co-Educational,469,,478,947,14,,0 14,18
885,07010401909 BHALASWA J.J. NO-2,019-BHALASWA Primary,,,Local body,,Urban Co-Educational,587,,578,1165,15,,2 17,19
886,07010401907 BHALASWA VILLAGAE,019-BHALASWA Primary,,,Local body,,Rural Co-Educational,328,,282,610,8,,8 16,13
887,07010401902 JAHANGIR PURI- I-IIND,019-BHALASWA Primary,,,Local body,,Urban Boys only,1025,,0,1025,12,,7 19,20
"",School,,,School,School,,Location  &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code & Name:,0701040001 DEFAULT,,,,,,,,,,,,,
888,07010401901 JAHANGIR PURI- I-IST,019-BHALASWA Primary,,,Local body,,Urban Girls only,0,,949,949,4,,24 28,24
889,07010401903 JAHANGIR PURI- J-I,019-BHALASWA Primary,,,Local body,,Rural Girls only,0,,597,597,3,,17 20,15
890,07010401904 JAHANGIR PURI- J-II,019-BHALASWA Primary,,,Local body,,Urban Boys only,542,,0,542,10,,2 12,24
891,07010402006 JAHANGIR PURI- B-I,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Girls only,0,,637,637,1,,17 18,17
892,07010402003 JAHANGIR PURI- B-II,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Boys only,614,,0,614,9,,2 11,25
893,07010402001 JAHANGIR PURI- C-I,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Girls only,0,,981,981,0,,27 27,4
894,07010402002 JAHANGIR PURI- C-II,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Boys only,886,,0,886,15,,2 17,18
895,07010402004 JAHANGIR PURI- K-I,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Co-Educational,0,,1081,1081,0,,30 30,10
896,07010402005 JAHANGIR PURI- K-II,020-JAHANGIRPURI-IIPrimary,,,Local body,,Urban Boys only,1025,,0,1025,8,,6 14,10
897,07010402512 SECTOR-23 ROHINI-II,025-POOTH KALA Primary,,,Local body,,Urban Boys only,898,,0,898,18,,5 23,29
898,07010403006 GHEWARA  BOYS,030-MUNDKA Primary,,,Local body,,Urban Co-Educational,184,,0,184,4,,2 6,5
899,07010403007 GHEWARA  GIRLS,030-MUNDKA Primary,,,Local body,,Urban Girls only,0,,181,181,0,,6 6,5
900,07010403014 J.J. COLONY SAWDA GHEWARA-II,030-MUNDKA Primary,,,Local body,,Urban Co-Educational,268,,260,528,11,,1 12,12
901,07010403009 J.J.SAWDA GHEWARA,030-MUNDKA Primary,,,Local body,,Rural Co-Educational,200,,196,396,8,,3 11,9
902,07010403013 MADAN PUR BOYS,030-MUNDKA Primary,,,Local body,,Rural Boys only,399,,0,399,4,,5 9,14
903,07010403010 MADAN PUR GIRLS,030-MUNDKA Primary,,,Local body,,Rural Girls only,0,,332,332,0,,9 9,8
904,07010403012 NIZAM PUR BOYS,030-MUNDKA Primary,,,Local body,,Rural Boys only,83,,0,83,1,,1 2,5
905,07010403011 NIZAM PUR GIRLS,030-MUNDKA Primary,,,Local body,,Rural Girls only,0,,81,81,0,,4 4,4
906,07010403004 RANI KHERA  BOYS,030-MUNDKA Primary,,,Local body,,Rural Boys only,220,,0,220,4,,1 5,6
907,07010403005 RANI KHERA  GIRLS,030-MUNDKA Primary,,,Local body,,Rural Girls only,0,,287,287,0,,8 8,7
908,07010403008 SAWDA,030-MUNDKA Primary,,,Local body,,Urban Co-Educational,56,,55,111,3,,1 4,5
909,07010403015 SAWDA GHEWRA B-BLK GIRLS,030-MUNDKA Primary,,,Local body,,Urban Co-Educational,174,,157,331,7,,0 7,6
910,07010403016 SAWDA GHEWRA I-BLK GIRLS,030-MUNDKA Primary,,,Local body,,Urban Co-Educational,287,,292,579,11,,2 13,13
911,07010403403 NITHARI -I-II,034-NITHARI Primary,,,Local body,,Rural Girls only,0,,2071,2071,15,,24 39,33
912,07010403404 NITHARI -II-II,034-NITHARI Primary,,,Local body,,Rural Boys only,1579,,0,1579,24,,2 26,29
913,07010403601 PREM NAGAR-II,036-PREM NAGAR Primary,,,Local body,,Rural Boys only,1343,,0,1343,31,,0 31,18
914,07010404811 MANGOLPURI P-I,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Girls only,0,,398,398,1,,11 12,11
915,07010407005 D.T.U. COLONY,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Co-Educational,99,,80,179,1,,5 6,5
916,07010407003 GURMANDI-I,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Girls only,0,,207,207,0,,5 5,5
917,07010407004 GURMANDI-II,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Boys only,155,,0,155,1,,2 3,5
918,07010407006 NEW GUPTA COLONY,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Co-Educational,165,,168,333,3,,6 9,10
919,07010407001 RANA PARTAP BAGH-I,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Girls only,0,,371,371,1,,11 12,11
"",School,,,School,School,,Location  &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code  & Name:,0701040001 DEFAULT,,,,,,,,,,,,,
920,07010407002 RANA PARTAP BAGH-II,070-RANA PRATAP BAPGriHmary,,,Local body,,Urban Boys only,261,0,261,1,,5 6,,9
921,07010407103 LAL BAGH I,071-SANGAM PARK Primary,,,Local body,,Urban Girls only,0,211,211,0,,5 5,,5
922,07010407104 LAL BAGH II,071-SANGAM PARK Primary,,,Local body,,Urban Boys only,140,0,140,3,,1 4,,6
923,07010407105 LAL BAGH NEW,071-SANGAM PARK Primary,,,Local body,,Urban Girls only,0,565,565,13,,3 16,,10
924,07010407106 LAL BAGH NEW-II,071-SANGAM PARK Primary,,,Local body,,Urban Boys only,645,0,645,7,,6 13,,10
925,07010407101 SANGAM PARK-I,071-SANGAM PARK Primary,,,Local body,,Urban Co-Educational,0,442,442,1,,14 15,,12
926,07010407102 SANGAM PARK-II,071-SANGAM PARK Primary,,,Local body,,Urban Boys only,315,0,315,7,,1 8,,10
927,07010407207 AZAD PUR CLY.-I,072-MODEL TOWN Primary,,,Local body,,Urban Girls only,0,420,420,0,,12 12,,11
928,07010407208 AZAD PUR CLY.-II,072-MODEL TOWN Primary,,,Local body,,Urban Boys only,433,0,433,7,,4 11,,10
929,07010407202 GUJRAWAL TOWN-II,072-MODEL TOWN Primary,,,Local body,,Urban Boys only,281,0,281,1,,5 6,,8
930,07010407201 GUJRAWALA TOWN-I,072-MODEL TOWN Primary,,,Local body,,Urban Girls only,0,290,290,0,,8 8,,7
931,07010407203 MODEL TOWN-I,072-MODEL TOWN Primary,,,Local body,,Urban Girls only,0,232,232,0,,8 8,,7
932,07010407204 MODEL TOWN-II,072-MODEL TOWN Primary,,,Local body,,Urban Boys only,272,0,272,0,,7 7,,8
933,07010407206 NEW POLICE LINE,072-MODEL TOWN Primary,,,Local body,,Urban Co-Educational,83,76,159,0,,7 7,,5
934,07010407205 STATE BANK COLONY,072-MODEL TOWN Primary,,,Local body,,Urban Co-Educational,145,109,254,3,,3 6,,6
"",Block Code & Name: 070105,MCDAIDED,,,Total Schools in this block :,1,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
935,"07010501201 BAPAASHRAM PRY.SCHOOL,KINGWA0Y1 2C-AGM.TP.B. NAGAR",Primary,,,Pvt. Aided,,Urban Co-Educational,108,125,233,1,,2 3,,6
"",Block Code  & Name: 070106,MCDUNAIDED,,,Total Schools in this block :,90,,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,,
936,"07010600104 C.K. NAIR P/S, NARELA D-40",001-NARELA Primary,,,Pvt. Unaided,,Urban Co-Educational,137,68,205,0,,5 5,,6
937,"07010600103 MANSA VIDYAPEETH,BHORGARH,D- 001-NARELA",Primary,,,Pvt. Unaided,,Rural Co-Educational,223,137,360,0,,9 9,,9
938,07010600105 RAMA DEVI PUBLIC SCHOOL,001-NARELA Primary,,,Pvt. Unaided,,Rural Co-Educational,126,83,209,1,,5 6,,8
939,"07010600102 VISWA M H S S MANDIR,NARELA D-40001-NARELA",Primary,,,Pvt. Unaided,,Rural Co-Educational,75,41,116,0,,6 6,,5
940,"07010600201 NAV JEEVAN P/S,BHORGARH,DEL¿41002-BANKNER",Primary,,,Pvt. Unaided,,Urban Co-Educational,78,65,143,3,,2 5,,5
941,"07010600205 S S V, GALI 1,NARELA",002-BANKNER Primary,,,Pvt. Unaided,,Urban Co-Educational,67,47,114,1,,4 5,,7
942,"07010600204 SUMMERDALE P/S,SWATANTRA NGR002-BANKNER",Primary,,,Pvt. Unaided,,Urban Co-Educational,307,142,449,2,,8 10,,9
943,"07010600202 TOMAR P/S MORGARH, D-40",002-BANKNER Primary,,,Pvt. Unaided,,Urban Co-Educational,136,36,172,0,,6 6,,7
944,"07010600203 V M ARYA P/S,Y70,BUDHVIHAR,DEL¿ 002-BANKNER",Primary,,,Pvt. Unaided,,Urban Co-Educational,62,44,106,1,,4 5,,5
945,07010600305 D N P/S MAJRA DABAS,003-ALIPUR Primary,,,Pvt. Unaided,,Rural Co-Educational,71,42,113,0,,5 5,,5
946,07010600306 G.D.CONV SCH KHERA KHURD,003-ALIPUR Primary,,,Pvt. Unaided,,Urban Co-Educational,75,62,137,3,,2 5,,5
947,"07010600304 GEETANJALI P/S, DULIA CLY ALIPUR 003-ALIPUR",Primary,,,Pvt. Unaided,,Rural Co-Educational,70,32,102,0,,5 5,,7
"",School,,,School,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070106,MCDUNAIDED,,,Total Schools in this block :,90,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,
948,"07010600302 GULZARILAL P/S, ALIPUR, D-36",003-ALIPUR Primary,,,Pvt. Unaided,,Urban Co-Educational,290,216,506,,1,12 13,12
949,"07010600301 GYAN AADHAR P/S,NARELA ALIPUR D0E0L3-ALIPUR",Primary,,,Pvt. Unaided,,Rural Co-Educational,19,10,29,,0,5 5,5
950,"07010600303 GYANODYA MODEL P/S, ALIPUR, D-36003-ALIPUR",Primary,,,Pvt. Unaided,,Rural Co-Educational,208,136,344,,1,10 11,10
951,07010600401 SATYAWATI SHIKSHA NIKETAN,004-BAKHTAWARPURPrimary,,,Pvt. Unaided,,Rural Co-Educational,90,46,136,,1,4 5,8
952,"07010601401 SWAMIVIVEKANANDM/S,ADARSH NAG01A4R-ADDARSH NAGAR Primary",,,,Pvt. Unaided,,Urban Co-Educational,194,88,282,,2,5 7,7
953,"07010601701 ARYAVEERMODELSCHOOL,BADLIVIS0T1A7R-SAMAYPUR BADLPI rimary",,,,Pvt. Unaided,,Rural Co-Educational,380,237,617,,0,14 14,15
954,07010601704 SHANTIDEVIP/S BADLIVILLAGE DELHI017-SAMAYPUR BADLPI rimary,,,,Pvt. Unaided,,Urban Co-Educational,81,49,130,,2,4 6,5
955,"07010601703 SUSHILADEVIP/S,YADAVNAGAR SAMA01Y7P-USRAMAYPUR BADLPI rimary",,,,Pvt. Unaided,,Urban Co-Educational,161,111,272,,2,5 7,8
956,"07010601702 VYASPUBLICSCHOOL,D87,YADAVNAG0A17R-SAMAYPUR BADLPI rimary",,,,Pvt. Unaided,,Rural Co-Educational,232,147,379,,1,6 7,8
957,07010601801 LAXMI P/S SWAROOP NAGAR DELHI  018-LIBASPUR,Primary,,,Pvt. Unaided,,Urban Co-Educational,100,70,170,,1,5 6,5
958,07010601804 NAVNITIN P/S GALI-1 LIBASPUR D-42 018-LIBASPUR,Primary,,,Pvt. Unaided,,Urban Co-Educational,128,68,196,,0,5 5,5
959,"07010601802 ROSEMARYSCHOOL,SWARUPNAGAR0D1E8-LLHIBI ASPUR",Primary,,,Pvt. Unaided,,Rural Co-Educational,105,86,191,,0,5 5,7
960,"07010601803 SAKUNTALADEVIPS,PUSTARDSWARU01P8N-LAIGBARSPUR",Primary,,,Pvt. Unaided,,Urban Co-Educational,272,163,435,,2,9 11,12
961,"07010601902 ARYAHANSRAJM/S,JAHANGIRPURI",019-BHALASWA Primary,,,Pvt. Unaided,,Rural Co-Educational,495,265,760,,0,18 18,17
962,"07010601901 NAVJYOTIP/S,SHARDHANANDCLY. D 019-BHALASWA",Primary,,,Pvt. Unaided,,Rural Co-Educational,148,77,225,,0,6 6,6
